Date,Adj Close
8/19/2012,2.25E-02
8/26/2012,-1.10E-02
9/2/2012,8.51E-03
9/9/2012,4.22E-03
9/16/2012,8.40E-03
9/23/2012,-6.41E-04
9/30/2012,-4.59E-02
10/7/2012,3.02E-03
10/14/2012,-2.18E-02
10/21/2012,-1.92E-02
10/28/2012,-1.50E-02
11/4/2012,4.57E-02
11/11/2012,-2.27E-02
11/18/2012,-7.26E-02
11/25/2012,4.45E-02
12/2/2012,-3.90E-02
12/9/2012,-6.01E-03
12/16/2012,1.32E-02
12/23/2012,2.39E-02
12/30/2012,-3.28E-02
1/6/2013,7.16E-03
1/13/2013,3.37E-03
1/20/2013,1.57E-02
1/27/2013,2.31E-02
2/3/2013,1.79E-03
2/10/2013,-1.36E-02
2/17/2013,1.67E-02
2/24/2013,-7.20E-04
3/3/2013,6.85E-03
3/10/2013,1.79E-03
3/17/2013,1.43E-03
3/24/2013,7.49E-03
3/31/2013,1.27E-02
4/7/2013,3.15E-03
4/14/2013,3.14E-03
4/21/2013,3.40E-02
4/28/2013,6.79E-02
5/5/2013,5.35E-02
5/12/2013,-2.39E-02
5/19/2013,7.42E-02
5/26/2013,-1.72E-02
6/2/2013,1.84E-02
6/9/2013,2.21E-02
6/16/2013,-3.56E-02
6/23/2013,-3.29E-02
6/30/2013,3.82E-02
7/7/2013,-9.55E-03
7/14/2013,4.27E-02
7/21/2013,-1.20E-01
7/28/2013,7.01E-03
8/4/2013,8.54E-03
8/11/2013,2.54E-02
8/18/2013,-2.07E-02
8/25/2013,9.28E-02
9/1/2013,-3.89E-02
9/8/2013,-6.74E-02
9/15/2013,6.04E-02
9/22/2013,-7.27E-03
9/29/2013,1.46E-02
10/6/2013,1.83E-02
10/13/2013,7.38E-03
10/20/2013,2.43E-02
10/27/2013,2.20E-02
11/3/2013,-5.60E-03
11/10/2013,6.33E-02
11/17/2013,1.59E-03
11/24/2013,3.95E-04
12/1/2013,1.49E-02
12/8/2013,6.03E-03
12/15/2013,-4.35E-02
12/22/2013,3.00E-03
12/29/2013,1.33E-02
1/5/2014,-1.02E-02
1/12/2014,-2.36E-02
1/19/2014,9.43E-03
1/26/2014,1.18E-02
2/2/2014,2.80E-02
2/9/2014,-3.38E-02
2/16/2014,2.90E-02
2/23/2014,1.71E-02
3/2/2014,8.69E-03
3/9/2014,-1.07E-02
3/16/2014,-5.28E-03
3/23/2014,6.53E-02
3/30/2014,3.49E-03
4/6/2014,-1.07E-02
4/13/2014,-1.66E-02
4/20/2014,2.04E-02
4/27/2014,-2.50E-03
5/4/2014,-5.51E-03
5/11/2014,-3.78E-03
5/18/2014,1.44E-02
5/25/2014,7.28E-03
6/1/2014,2.04E-02
6/8/2014,1.32E-02
6/15/2014,-6.03E-03
6/22/2014,1.09E-02
6/29/2014,1.37E-02
7/6/2014,-1.07E-02
7/13/2014,6.94E-03
7/20/2014,6.18E-02
7/27/2014,-4.25E-03
8/3/2014,-3.69E-02
8/10/2014,7.93E-03
8/17/2014,3.68E-02
8/24/2014,1.43E-02
8/31/2014,6.20E-03
9/7/2014,1.06E-02
9/14/2014,1.72E-02
9/21/2014,1.76E-02
9/28/2014,-2.34E-02
10/5/2014,-6.90E-03
10/12/2014,-4.47E-02
10/19/2014,-9.08E-03
10/26/2014,5.73E-02
11/2/2014,1.78E-02
11/9/2014,3.69E-02
11/16/2014,1.85E-02
11/23/2014,-2.62E-02
11/30/2014,-3.54E-03
12/7/2014,1.28E-02
12/14/2014,-3.04E-02
12/21/2014,1.51E-02
12/28/2014,4.62E-03
1/4/2015,-2.34E-02
1/11/2015,9.20E-03
1/18/2015,-2.01E-02
1/25/2015,2.03E-02
2/1/2015,-1.44E-01
2/8/2015,4.98E-02
2/15/2015,3.44E-02
2/22/2015,6.89E-03
3/1/2015,-2.28E-04
3/8/2015,-3.40E-02
3/15/2015,-2.31E-02
3/22/2015,3.63E-02
3/29/2015,-4.45E-02
4/5/2015,-1.66E-02
4/12/2015,3.55E-02
4/19/2015,-2.40E-03
4/26/2015,1.50E-01
5/3/2015,1.65E-02
5/10/2015,-1.87E-02
5/17/2015,1.15E-02
5/24/2015,-2.27E-02
5/31/2015,-8.53E-04
6/7/2015,-1.54E-02
6/14/2015,-3.68E-03
6/21/2015,2.83E-03
6/28/2015,-1.82E-02
7/5/2015,-1.90E-02
7/12/2015,4.73E-03
7/19/2015,4.51E-02
7/26/2015,-1.46E-02
8/2/2015,1.65E-02
8/9/2015,8.57E-04
8/16/2015,5.56E-03
8/23/2015,-7.76E-02
8/30/2015,2.00E-02
9/6/2015,-3.01E-02
9/13/2015,2.04E-02
9/20/2015,0.00E+00
9/27/2015,1.06E-02
10/4/2015,3.71E-02
10/11/2015,3.38E-02
10/18/2015,8.49E-03
10/25/2015,1.13E-01
11/1/2015,-4.35E-03
11/8/2015,4.33E-02
11/15/2015,-3.79E-02
11/22/2015,3.25E-02
11/29/2015,-4.80E-03
12/6/2015,3.67E-02
12/13/2015,-3.31E-02
12/20/2015,1.30E-03
12/27/2015,2.85E-02
1/3/2016,-3.41E-03
1/10/2016,-5.68E-02
1/17/2016,-2.56E-02
1/24/2016,2.55E-02
1/31/2016,5.36E-02
2/7/2016,-8.95E-02
2/14/2016,6.78E-03
2/21/2016,3.35E-02
2/28/2016,-1.00E-02
3/6/2016,1.42E-02
3/13/2016,2.00E-02
3/20/2016,7.91E-03
3/27/2016,1.35E-02
4/3/2016,2.51E-02
4/10/2016,-2.07E-02
4/17/2016,2.26E-02
4/24/2016,-6.95E-02
5/1/2016,-3.69E-02
5/8/2016,1.04E-02
5/15/2016,1.37E-02
5/22/2016,-2.07E-03
5/29/2016,3.36E-02
6/5/2016,-1.01E-02
6/12/2016,-5.99E-03
6/19/2016,-2.62E-02
6/26/2016,-5.98E-03
7/3/2016,2.67E-02
7/10/2016,2.23E-02
7/17/2016,2.68E-02
7/24/2016,5.35E-02
7/31/2016,1.95E-03
8/7/2016,2.26E-02
8/14/2016,-3.45E-04
8/21/2016,6.75E-04
8/28/2016,7.12E-03
9/4/2016,-6.20E-03
9/11/2016,-2.53E-02
9/18/2016,1.85E-02
9/25/2016,3.14E-03
10/2/2016,2.96E-03
10/9/2016,3.47E-03
10/16/2016,-6.57E-03
10/23/2016,3.90E-02
10/30/2016,3.52E-03
11/6/2016,-1.94E-02
11/13/2016,5.28E-03
11/20/2016,2.94E-02
11/27/2016,2.98E-03
12/4/2016,-2.12E-02
12/11/2016,4.59E-02
12/18/2016,5.33E-03
12/25/2016,1.51E-02
1/1/2017,-1.74E-02
1/8/2017,1.13E-02
1/15/2017,-2.23E-03
1/22/2017,6.38E-04
1/29/2017,4.85E-02
2/5/2017,-3.19E-02
2/12/2017,5.03E-03
2/19/2017,1.58E-02
2/26/2017,0.00E+00
3/5/2017,-5.73E-03
3/12/2017,1.06E-02
3/19/2017,-9.24E-04
3/26/2017,1.70E-03
4/2/2017,1.35E-02
4/9/2017,-2.73E-03
4/16/2017,-1.11E-02
4/23/2017,2.23E-02
4/30/2017,3.10E-02
5/7/2017,7.89E-03
5/14/2017,-8.99E-03
5/21/2017,-4.42E-03
5/28/2017,3.35E-02
6/4/2017,2.57E-02
6/11/2017,-2.01E-02
6/18/2017,-4.55E-03
6/25/2017,1.73E-02
7/2/2017,-3.20E-02
7/9/2017,7.69E-03
7/16/2017,4.78E-02
7/23/2017,1.39E-02
7/30/2017,-1.02E-02
8/6/2017,-4.93E-03
